,train,train_std,LOO,LOO_std
2,26325.801805650943,52.053083562012624,26157.646535993554,796.79169021222026
3,28759.204371615037,49.750267696393074,28463.431279116434,732.43315451681133
4,30615.151360323016,61.44658675988579,30173.671762489168,926.68383502475638
5,31798.804929923586,72.992400791675294,31298.637607275403,1046.8189473363298
6,32549.505291489382,73.409166997268457,31684.891386834581,989.86263187336249
7,33244.791662404954,82.137205035797194,32167.850439523365,1065.0277758408326
8,33922.945087244938,96.996386156359492,33156.535184760811,1472.735633420572
9,34414.331673084584,98.985137615353835,33492.85193358759,1484.9008266351509
10,34853.326867801661,102.57611364120211,33769.898469688334,1467.4130879131205
11,35217.892150672051,106.58553239131459,34087.024653585104,1637.8820793927691
12,35579.811009128658,99.878606625059206,34408.586124638125,1556.8679643897606
13,35900.657956753399,108.42657992390936,34635.671286844517,1619.1184760003928
14,36156.464310946867,105.80352201937743,34846.81240697149,1619.1132269134014
15,36419.022401291179,100.61704072506377,34956.801669993933,1630.3761585018251
16,36642.968509220438,115.43962665836497,35211.2027079252,1605.9462257371401
17,36860.147665731951,106.65326015048467,35351.698798586192,1673.8742594846562
18,37043.220759969387,109.28201593706457,35399.42781428017,1582.451065198286
19,37233.128726887517,117.574476660564,35458.646962452593,1584.4788953014299
20,37405.652239350617,118.60298602096749,35611.069073980514,1610.781913152751
21,37581.771175641974,119.23729733610169,35570.656885925666,1599.6854355942287
22,37746.224684238638,118.81381346017785,35753.404941812951,1636.5148833014118
23,37904.681567734689,108.71480189642865,36006.343353896387,1742.508266145268
24,38060.573202712316,106.34983482570571,35923.209795926756,1727.8435439251707
25,38213.401120576658,118.18547119664656,36129.545060897115,1846.9850240050187
