,train,LOO
2,23612.576776302914,19000.932041239317
3,26005.767335576151,19629.751436967174
4,27521.986385003271,20118.34528623402
5,29252.365097023558,20624.447270699959
6,30173.324774520559,21113.228084552338
7,31031.525936645736,20669.020117799468
8,32284.24595356586,21151.213655671778
9,32870.378658544381,20612.831874927426
10,33725.973874518291,19864.762119061274
11,,
12,,
13,36566.14862467318,20583.853823540001
14,,
15,37243.543589438515,20065.774148089764
16,,
17,,
