,train,train_std,LOO,LOO_std
2,26866.01366350894,95.784235088660068,26731.197370438516,1444.4640068188962
3,28626.9758092191,101.84460525975393,27894.920620033816,1610.070071485284
4,30313.440326872093,109.30357289029175,29775.754038020707,1629.5752869068097
5,31357.129088905698,129.86764468598636,30858.660005698017,1940.1817806948795
6,32180.888526059385,148.68802684181301,31497.73969538997,1957.8464341047197
7,32870.213241979858,147.37744058888092,32297.592117711047,2207.9019959613724
8,33423.167155039366,140.57598199349547,32695.975724265791,2146.586955982179
9,33849.588532311085,139.68329401522561,32896.74460459793,2212.7014762454037
10,34259.315136440622,156.49617042022211,33280.697036023324,2257.8445397794717
11,34627.424341321974,146.21186292109272,33598.582898669592,2286.2632931117369
12,34940.581814157566,157.71120704586394,33718.70372262298,2334.0478918579488
13,35223.347815391833,156.69973737406923,33994.820385132407,2336.4995385060442
14,35467.444946849311,167.10918992515445,34088.838705722512,2360.2465715324583
15,35707.975944915452,161.46781701221869,34222.371900014885,2295.1609165610994
16,35925.632029393775,165.07372087217985,34472.519564640344,2428.0254619504044
17,36126.280892496754,161.87521759851955,34534.037331080661,2388.6545386642688
18,36324.712876032572,167.26434136778758,34703.492613929207,2404.4206360172739
19,36499.912958518937,172.57967136598486,34816.720633838981,2519.0146548927969
20,36665.924793687998,175.57783696402583,34938.978050203303,2421.2417692235585
21,36838.660734277313,179.89359915931695,35123.733434238566,2621.2301089804541
22,37004.089337571742,165.73222609510756,35168.623376649412,2566.4541033991559
23,37157.089804472678,183.51179163689446,35261.484254484305,2516.6872777667768
24,37303.269085270178,170.43763479986319,35326.199625699315,2540.7270821640286
25,37434.660863667836,182.94824820300283,35441.58521117107,2523.0449905518644
